"plot","census","dominant_PFT","acom","bcom","ccom","minDBHcom","maxDBHcom","maxDBHdead","pattern","nb_trees","nb_deaths"
"T0808","2015-2020","EB-tree",-2.6594197669175,0.048869289358613,-0.751730571095011,0.986760647,38.1971863420549,23.10929774,"U-shaped",344,68
"T0809","2015-2020","EB-tree",-1.9937843008252,0.0680835111670855,-1.25431592366845,0.986760647,38.29267930791,32.30845345,"U-shaped",211,46
"T0810","2015-2020","EB-tree",-2.21518947427273,-0.19428762217547,-0.136686949831442,0.999493042617103,34.1992141715865,12.40000035,"Declined",357,77
"T0811","2015-2020","EB-tree",-2.43229853047954,0.00481254099852793,-0.698184623914693,0.999493042617103,27.4987910674177,16.09999945,"Declined",509,118
"T0812","2015-2020","EB-tree",-1.89321638285982,0.0310671618804225,-1.60608779123715,0.999493042617103,33.6007915855609,16.60000062,"Declined",726,183
"T0813","2015-2020","EB-tree",-1.92540378540806,0.0340454055690766,-1.46675101790961,0.999493042617103,49.0992999438497,10.29999862,"U-shaped",634,159
"T0814","2015-2020","EB-tree",-2.42177213871168,-0.0242806791316638,-0.383356906742086,0.999493042617103,33.8013268138567,22.20000098,"Declined",448,118
"T0815","2015-2020","EB-tree",-2.10384412009334,0.0695150102943866,-1.3029260033765,0.999493042617103,47.698736444641,35.70001345,"U-shaped",539,130
"T0816","2015-2020","EB-tree",-2.31861693632952,0.0518237376338074,-1.09397205848847,1.00000011,25.900875438775,11.99999941,"U-shaped",553,105
"T0817","2015-2020","EB-tree",-2.26951736689426,0.0543549269094841,-0.958669104171939,0.999493042617103,32.6012985429438,20.19999949,"U-shaped",585,135
"T0818","2015-2020","EB-tree",-2.15892642754169,-0.132160445783884,-0.55157087956387,0.999493042617103,23.3989597333705,21.8,"Declined",828,201
"T0819","2015-2020","EB-tree",-2.08900405234756,-0.053842480471015,-0.72148185737823,0.999493042617103,23.898706254679,20.6,"Declined",889,241
"T0820","2015-2020","EB-tree",-2.14325283073083,-0.0597233324853198,-0.75741794595715,1,42.3002007749639,14.1,"Declined",882,190
"T0901","2015-2020","EB-tree",-2.64417381771115,0.0175285628516181,-0.804249439351888,0.986760647169751,62.7070475782068,26.70619945,"U-shaped",212,33
"T0902","2015-2020","EB-tree",-2.61921554208402,0.152935902357521,-1.5775346333416,1.11408460164327,36.41465098,36.41465098,"U-shaped",265,37
"T0903","2015-2020","EB-tree",-3.64761946651207,0.0238866512073219,-0.360801221631396,0.986760647169751,40.9028203746171,24.79634013,"U-shaped",229,22
"T0904","2015-2020","EB-tree",-3.4893585394813,0.0869691430839156,-0.850048016576337,0.986760647,41.985073987642,34.88676353,"U-shaped",339,32
"T0905","2015-2020","EB-tree",-3.00061653732537,0.161905127058329,-1.44756568423012,0.986760647,56.30901887,56.30901887,"U-shaped",289,35
"T0906","2015-2020","EB-tree",-3.33213983487848,0.0535750972516588,-0.693968371014991,0.986760647,45.4864827356637,22.79098785,"U-shaped",307,35
"T0907","2015-2020","EB-tree",-2.55068102347992,-0.048531554171159,0.256025085099319,0.986760647,39.5977498412636,27.59746713,"Unimodal",265,90
"T0908","2015-2020","EB-tree",-2.69503985026016,0.047430928206472,-0.466576297930997,0.986760647169751,40.4890175225782,36.28732702,"U-shaped",339,77
"T0909","2015-2020","EB-tree",-3.38385822857229,-0.10788556545715,0.185961141330198,0.986760647,43.8949333047447,13.11436731,"Unimodal",273,34
"T0910","2015-2020","EB-tree",-3.20404134560478,-0.142995375592364,0.0857464426050345,0.999493042617103,34.4984254645992,13.19999904,"Declined",286,34
"T0911","2015-2020","EB-tree",-2.01816841493525,-0.0279294988677284,-0.562370533740006,0.999493042617103,36.3987354851165,22.00000052,"Declined",311,92
"T0912","2015-2020","EB-tree",-2.70901904999786,-0.0513316340155217,-0.0854537316420164,0.999493042617103,33.6994676502779,19.60000127,"Declined",397,89
"T0913","2015-2020","EB-tree",-2.22988222987956,0.0255881885026218,-0.951014273698013,0.999493042617103,33.9000028785737,16.90000132,"Declined",513,124
"T0914","2015-2020","EB-tree",-2.0220066993259,-0.529365364684251,0.629929740289177,0.999493042617103,31.0001998154394,9.099998998,"Unimodal",575,135
"T0915","2015-2020","EB-tree",-1.96736785270672,0.00582246557917247,-0.770044493996142,0.999493042617103,36.5005946486953,30.40000106,"Declined",486,156
"T0916","2015-2020","EB-tree",-1.85649205362077,0.0927096150065209,-1.27122334306337,0.999493042617103,39.1998624835338,33.29998874,"U-shaped",557,174
"T0917","2015-2020","EB-tree",-2.03330060188855,-0.228026784617798,-0.0479941238437227,0.986760647169751,28.297748881739,10.59971921,"Declined",413,112
"T0918","2015-2020","EB-tree",-2.22089632913841,0.051393126602355,-0.883242275661632,1.11408460164327,29.4118334833823,16.80676199,"U-shaped",451,103
"T0919","2015-2020","EB-tree",-3.00264011007179,-0.00394030670804275,-0.313663144756152,0.986760647,21.6132412718794,17.79352264,"Declined",664,111
"T0920","2015-2020","EB-tree",-2.30536658668017,0.00334150485245288,-0.701381991849715,0.999493042617103,21.600508876432,14.2,"Declined",692,163
